bid,name,pattern,subPattern,expected,got,delta,deltaAbs
3942038,Acquaintance(skwid) x1.35,tech,stream tech,14.6,14.67,-0.07,0.07
4632118,Acquaintance(skwid) x1.4,tech,stream tech,15,14.98,0.02,0.02
3090567,Crescent Moon Island(shoegazer) x0.9,tech,stream tech,12.2,11.80,0.40,0.40
3090566,Crescent Moon Island(shoegazer) x0.95,tech,stream tech,13,12.82,0.18,0.18
3262554,Crescent Moon Island(shoegazer) x1.0,tech,stream tech,13.6,13.59,0.01,0.01
3090568,Crescent Moon Island(shoegazer) x1.05,tech,stream tech,14,13.96,0.04,0.04
3090570,Crescent Moon Island(shoegazer) x1.1,tech,stream tech,14.4,14.03,0.37,0.37
3090569,Crescent Moon Island(shoegazer) x1.15,tech,stream tech,14.8,14.51,0.29,0.29
3090571,Crescent Moon Island(shoegazer) x1.2,tech,stream tech,15.4,14.54,0.86,0.86
5255752,Future Candy(leo137) x1.5,tech,stream tech,15,14.50,0.50,0.50
4168392,Luminous Story(Magikarp1234),tech,stream tech,12.7,12.12,0.58,0.58
3915895,Playing with Ruby(ska) x1.2,tech,stream tech,13.4,13.08,0.32,0.32
4788540,The Poetic Edda(kilotek),tech,stream tech,14.6,15.13,-0.53,0.53
4432318,Possessed By The Blood(ska) x1.25,tech,stream tech,15.2,14.76,0.44,0.44
3681342,Heikousen(lynessa) x1.15,tech,stream tech,14.6,14.64,-0.04,0.04
3681345,Heikousen(lynessa) x1.2,tech,stream tech,15,15.00,0.00,0.00
3249835,Louder than steel(ska) x1.25,tech,stream tech,14.9,14.90,0.00,0.00
4507383,Bismuth[Singularity](ababa),tech,stream tech,14.6,14.95,-0.35,0.35
5174997,Bismuth[Supernova](archaic),tech,stream tech,14.4,14.02,0.38,0.38
5167720,Bismuth[Nebula](eclipse),tech,stream tech,11.4,10.55,0.85,0.85
3444323,Nostos2021(xingren),tech,stream tech,17,14.71,2.29,2.29
4130341,Re Aoharu(11bit),tech,stream tech,13.2,12.89,0.31,0.31
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 1st ~ (Marathon)],course,rc course,1,2.04,-1.04,1.04
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 2nd ~ (Marathon)],course,rc course,2,2.89,-0.89,0.89
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 3rd ~ (Marathon)],course,rc course,3,2.96,0.04,0.04
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 4th ~ (Marathon)],course,rc course,4,4.29,-0.29,0.29
,Various Artists - Dan ~ REFORM ~ 1st Pack (Thaumiel) [~ 5th ~ (Marathon)],course,rc course,5,5.94,-0.94,0.94
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 6th ~ (Marathon)],course,rc course,6,6.13,-0.13,0.13
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 7th ~ (Marathon)],course,rc course,7,7.15,-0.15,0.15
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 8th ~ (Marathon)],course,rc course,8,8.31,-0.31,0.31
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 9th ~ (Marathon)],course,rc course,9,9.85,-0.85,0.85
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ 10th ~ (Marathon)],course,rc course,10,10.14,-0.14,0.14
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-ALPHA ~ (Marathon)],course,rc course,11,11.16,-0.16,0.16
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-BETA ~ (Marathon)],course,rc course,12,12.24,-0.24,0.24
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-GAMMA ~ (Marathon)],course,rc course,13,13.13,-0.13,0.13
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-DELTA ~ (Marathon)],course,rc course,14,14.20,-0.20,0.20
,Various Artists - Dan ~ REFORM ~ 2nd Pack (Thaumiel) [~ EXTRA-EPSILON ~ (Marathon)],course,rc course,15,15.02,-0.02,0.02
,Various Artists - Dan ~ REFORM ~ FINAL ([GB]Thaumiel) [~ FINAL - ETA ~ ( Marathon )],course,rc course,17,14.59,2.41,2.41
5319863,Dan - Signicial's Courses[[4K] Stage III - Termination [3rd Dan] (Marathon)],course,rc course,3.1,2.96,0.14,0.14
5319952,Dan - Signicial's Courses[[4K] Stage IV - Resuscitation [4th Dan] (Marathon)],course,rc course,3.7,4.19,-0.49,0.49
5031832,Dan - Signicial's Courses[[4K] Stage V - Disturbance [5th Dan] (Marathon)],course,rc course,4.6,5.89,-1.29,1.29
5031833,Dan - Signicial's Courses[[4K] Stage VI - Revitalization [6th Dan] (Marathon)],course,rc course,5.6,5.98,-0.38,0.38
5320775,Dan - Signicial's Courses[[4K] Stage VII - Motivation [7th Dan] (Marathon)],course,rc course,6.4,7.14,-0.74,0.74
5320776,Dan - Signicial's Courses[[4K] Stage VIII - Misfortune [8th Dan] (Marathon)],course,rc course,7.5,7.14,0.36,0.36
5320774,Dan - Signicial's Courses[[4K] Stage IX - Catastrophe [9th Dan] (Marathon)],course,rc course,8.7,9.49,-0.79,0.79
5031834,Dan - Signicial's Courses[[4K] Stage X - Finale [10th Dan] (Marathon)],course,rc course,9.6,10.17,-0.57,0.57
3216602,Dan - Signicial's Courses[[4K] Stage XI - Alpha [11th Dan] (Marathon)],course,rc course,10.5,10.92,-0.42,0.42
5637760,Dan - Signicial's Courses[[4K] Special Stage I - Luminal [11.5th Dan] (Marathon)],course,rc course,11.1,11.04,0.06,0.06
3216603,Dan - Signicial Courses[[4K] Stage XII - Beta [12th Dan] (Marathon)],course,rc course,11.8,11.70,0.10,0.10
3216604,Dan - Signicial's Courses[[4K] Stage XIII - Gamma [13th Dan] (Marathon)],course,rc course,12.7,13.17,-0.47,0.47
3216606,Dan - Signicial's Courses[[4K] Stage XIV - Delta [14th Dan] (Marathon)],course,rc course,13.7,14.26,-0.56,0.56
5442562,Dan - Signicial's Courses[[4K] Special Stage II - Tachyon [14.5th Dan] (Marathon)],course,rc course,14.3,15.07,-0.77,0.77
3216605,Dan - Signicial's Courses[[4K] Last Stage - Epsilon [15th Dan] (Marathon)],course,rc course,14.9,15.09,-0.19,0.19
5370092,Dan - Signicial's Courses[[4K] Extra Stage I - Zeta [16th Dan] (Marathon)],course,rc course,16.1,14.60,1.50,1.50
5597992,Dan - Signicial's Courses[[4K] Extra Stage II - Eta [17th Dan] (Marathon)],course,rc course,17.1,14.65,2.45,2.45
5680925,Dan - Signicial's Courses[[4K] Extra Stage III - Theta [18th Dan] (Marathon)],course,rc course,17.9,14.34,3.56,3.56
5695357,Reincarnation(signicial dan),jack,low chordjack,2.9,2.03,0.87,0.87
5695347,Backyun! - BAD GIRL -(signicial dan),jack,low chordjack,3.7,4.06,-0.36,0.36
5695360,air's gravity(signicial dan),jack,low chordjack,4.8,4.53,0.27,0.27
5695358,Another Medium(signicial dan),jack,low chordjack,5.6,4.56,1.04,1.04
5695355,Saltwater Chicken & Duck Roasted Chicken & Duck(signicial dan),jack,low chordjack,6.6,6.67,-0.07,0.07
5695349,EVERGREEN(signicial dan),jack,mid chordjack,7.4,7.46,-0.06,0.06
5695345,Alea jacta est(signicial dan),jack,low chordjack,8.4,7.47,0.93,0.93
5695353,What is love(signicial dan),jack,high chordjack,9.1,8.38,0.72,0.72
5695359,Count What You Have Now(signicial dan) x1.05,jack,high chordjack,10.3,10.96,-0.66,0.66
5590322,Cryonix(signicial dan),jack,low chordjack,11.5,11.74,-0.24,0.24
5695348,lost found melody(signicial dan),jack,low chordjack,11.8,11.07,0.73,0.73
5695354,The Safari(signicial dan),jack,anchor chordjack,12.6,11.69,0.91,0.91
5695350,Nijiiro Kekkai Gekkyou no Goku(signicial dan),jack,anchor chordjack,13.6,13.95,-0.35,0.35
5590317,Nijuu(signicial dan),jack,anchor chordjack,14.5,14.98,-0.48,0.48
5695352,Ragnarok(signicial dan) x0.9,jack,high chordjack,16.1,14.82,1.28,1.28
5370048,Ambitious(signicial dan),tech,stream tech,3.3,2.50,0.80,0.80
5370044,for Q(signicial dan),tech,stream tech,3.7,2.96,0.74,0.74
5370045,kibou no tsuki(signicial dan),tech,jack tech,4.5,3.11,1.39,1.39
5370043,BIRTH(signicial dan),tech,stream tech,5.7,5.15,0.55,0.55
5370047,girls.exe(signicial dan),tech,stream tech,6.4,7.00,-0.60,0.60
5370050,Hestia(signicial dan),tech,stream tech,7.8,7.02,0.78,0.78
5370046,T'Suramic(signicial dan),tech,stream tech,9.6,9.16,0.44,0.44
5370036,Nowise(signicial dan),tech,jack tech,10.5,8.96,1.54,1.54
5590320,Veins Resonance(signicial dan),tech,jack tech,10.7,10.67,0.03,0.03
5370049,Rainshower(signicial dan),tech,jack tech,11.6,10.61,0.99,0.99
5370039,Sulfide(signicial dan),tech,stream tech,13.5,13.47,0.03,0.03
5590318,sirens eye(signicial dan),tech,stream tech,14.4,14.36,0.04,0.04
5370038,POLYBIUS GB SPEEDRUN(signicial dan) x1.2,tech,stream tech,14.8,14.66,0.14,0.14
5370037,NUCLEAR-STAR(signicial dan),tech,stream tech,16.2,14.60,1.60,1.60
5366872,Phi(signicial dan),speed,low stream,3.1,2.96,0.14,0.14
5375029,498 Tokio(signicial dan),speed,low stream,3.8,3.94,-0.14,0.14
5366871,The Wanderlast(signicial dan),speed,low stream,4.4,4.59,-0.19,0.19
5366875,BREAK IT(signicial dan),speed,mid stream,5.8,5.17,0.63,0.63
5366877,Serendipity(signicial dan),speed,low stream,6.1,6.90,-0.80,0.80
5366870,Eureka(signicial dan),speed,low stream,7.3,7.31,-0.01,0.01
5366868,Angel Halo(signicial dan),speed,high stream,9.1,8.19,0.91,0.91
5366867,cold planet(signicial dan),speed,high stream,9.6,9.12,0.48,0.48
5366873,NightTheater(signicial dan),speed,high stream,10.7,10.40,0.30,0.30
5590323,Kyoumen no Nami(signicial dan),speed,mid stream,11.7,11.06,0.64,0.64
5366863,DON'T GIVE A FUCK(signicial dan),speed,high stream,11.6,10.05,1.55,1.55
5366874,Nirmiti(signicial dan),speed,high stream,12.9,12.68,0.22,0.22
5366864,Tojita Sekai(signicial dan),speed,low stream,13.9,13.75,0.15,0.15
5590321,Nevereverland(signicial dan) x1.05,speed,mid stream,14.5,15.02,-0.52,0.52
5366865,Disconnected Trance(signicial dan) x1.05,speed,mid stream,14.9,14.73,0.17,0.17
5375823,Kouyou(signicial dan),stamina,light jumpstream,3.1,2.30,0.80,0.80
5375826,Ouka Sange(signicial dan),stamina,light handstream,4.7,6.05,-1.35,1.35
5375824,Blue Moon(signicial dan),stamina,dense handstream,5.9,5.74,0.16,0.16
5375829,Synthesis.(signicial dan),stamina,light handstream,6.4,7.42,-1.02,1.02
5375819,Literal Crystal in Cyphisonia(signicial dan),stamina,dense jumpstream,7.6,7.57,0.03,0.03
5375831,CERCA-ESOTERICA(signicial dan),stamina,dense handstream,8.6,10.31,-1.71,1.71
5375820,Kisaragi(signicial dan),stamina,dense jumpstream,9.8,10.32,-0.52,0.52
5375825,Sendan Life(signicial dan),stamina,light jumpstream,10.7,10.58,0.12,0.12
5590319,Chronicle(signicial dan),stamina,dense handstream,10.8,10.70,0.10,0.10
5375822,The Limit Does Not Exist(signicial dan),stamina,dense jumpstream,12.2,11.62,0.58,0.58
5375821,[ns](signicial dan),stamina,dense jumpstream,12.6,12.90,-0.30,0.30
5375845,Excuse Me But Could You Please RIP(signicial dan),stamina,dense handstream,13.8,13.87,-0.07,0.07
5590316,Get into the Abyssmare(signicial dan) x1.2,stamina,dense handstream,14.2,13.80,0.40,0.40
5375828,Juggernaut(signicial dan) x1.25,stamina,dense handstream,15,14.82,0.18,0.18
5375817,LA MD(signicial dan) 0.9x,stamina,dense jumpstream,16.1,14.56,1.54,1.54
5598212,SIVA(signicial dan),jack,high chordjack,17.2,14.81,2.39,2.39
5598211,silly-willy-nilly(signicial dan),tech,jack tech,16.6,14.63,1.97,1.97
5600849,The Final Musical Dance I(signicial dan) x1.025,speed,low stream,17.3,15.05,2.25,2.25
5598209,EMPIRE OF FLAME(signicial) x1.15,stamina,dense handstream,17.4,14.62,2.78,2.78
5680975,Heaven's Fall(signicial dan),jack,anchor chordjack,17.6,14.78,2.82,2.82
5679828,Necrophagiatoast(signicial dan) x1.075,tech,stream tech,17.8,14.38,3.42,3.42
5679829,Discharge(signicial) x1.15,speed,low stream,18,14.88,3.12,3.12
5680977,It Has To Be This Way(signicial dan),stamina,dense handstream,18.3,14.44,3.86,3.86
5253584,Life Garden(follow speed dan),speed,low stream,10.3,10.90,-0.60,0.60
5253560,Elsa de la bibliotheque(follow speed dan),speed,mid stream,10.3,9.74,0.56,0.56
5253572,Chou Aoshiyounen no Tame no Choutan na Choukoten Choubukyoku(follow speed dan),speed,high stream,10.3,9.87,0.43,0.43
5253585,Hoshi ga Furanai Machi(follow speed dan),speed,high stream,10.4,10.93,-0.53,0.53
5253561,Scarlet Tempest(follow speed dan),speed,mid stream,10.4,9.92,0.48,0.48
5253573,Otenba Renjyo(follow speed dan),speed,high stream,10.4,10.34,0.06,0.06
5253586,Flower Dance(follow speed dan),speed,high stream,11.2,9.69,1.51,1.51
5253562,Hymn(follow speed dan),speed,mid stream,11.2,10.33,0.87,0.87
5253574,yo ma ya ko(follow speed dan),speed,high stream,11.2,10.28,0.92,0.92
5253587,The Crimson Empire(follow speed dan),speed,high stream,12.4,11.88,0.52,0.52
5253563,Anhedonia(follow speed dan),speed,mid stream,12.4,12.54,-0.14,0.14
5253575,Sora no Hajimaru Basho(follow speed dan),speed,high stream,12.4,12.35,0.05,0.05
5253588,ntelecheia(follow speed dan),speed,high stream,13.4,12.73,0.67,0.67
5253564,Imitation of fragrance(follow speed dan),speed,mid stream,13.4,12.58,0.82,0.82
5253576,Brionac Lugh Lamhfhata(follow speed dan),speed,high stream,13.4,12.57,0.83,0.83
5253589,End Time(follow speed dan),speed,high stream,13.6,12.91,0.69,0.69
5253565,AIR(follow speed dan),speed,mid stream,13.6,13.23,0.37,0.37
5253577,Akasha(follow speed dan),speed,high stream,13.6,12.95,0.65,0.65
5253590,Metheus(follow speed dan),speed,high stream,14,13.52,0.48,0.48
5253566,BABYLON(follow speed dan),speed,mid stream,14,14.13,-0.13,0.13
5253578,weenywalker(follow speed dan),speed,low stream,14,13.72,0.28,0.28
5253591,osanagokoro chi no uchouten(follow speed dan),speed,high stream,14.4,13.80,0.60,0.60
5253567,hiiro gekka kyosakinoze(follow speed dan),speed,mid stream,14.4,14.01,0.39,0.39
5253579,Dark Flight Dreamer(follow speed dan),speed,high stream,14.4,14.07,0.33,0.33
5253592,Love Lie(follow speed dan),speed,high stream,14.6,13.79,0.81,0.81
5253568,Palette(follow speed dan),speed,mid stream,14.6,14.55,0.05,0.05
5253580,M-A(follow speed dan),speed,mid stream,14.6,14.21,0.39,0.39
5253583,kori metsuno 135 shosetsu(follow speed dan),speed,high stream,15,15.02,-0.02,0.02
5253559,Nibelungen(follow speed dan),speed,mid stream,15,14.99,0.01,0.01
5253571,Fake(follow speed dan),speed,high stream,15,14.98,0.02,0.02
5253594,Regression(follow speed dan),speed,high stream,15.4,15.02,0.38,0.38
5253570,Kinki to Hiiro Gensou -The Primary Plasm-(follow speed dan),speed,mid stream,15.4,15.00,0.40,0.40
5253582,Decoy(follow speed dan),speed,high stream,15.4,15.02,0.38,0.38
